,text,label,telegram_id
12,сторонники идеи золотого миллиарда в стремлении сократить население земли которое они никогда не скрывали дошли до украины об этом заявила официальный представитель мид рф мария захарова в среду на брифинге,2,157324
13,россия начинает создание в киргизии русскоязычных школ мишустин,12,157325
14,это похоже на сформировавшуюся цель четкую понятную цель,26,4869
15,мчс рф доставит в затопленные районы херсонской области электростанции мотопомпы и тепловые пушки ведомство,2,157326
16,эрдоган провел телефонные переговоры с путиным обсуждена ситуация на украине сообщила канцелярия турецкого президента эрдоган в разговоре с путиным выступил с инициативой создания международной комиссии по каховской гэс,12,157327
17,москва дорожит братскими отношениями с ереваном которые носят стратегический и союзнический характер заявил премьерминистр рф михаил мишустин,2,157328
18,в россии много хороших душевных людей и каюсь до начала сво я об этом и не подозревал,25,4870
19,польша депортировала россиянина который выдавал себя за экссотрудника контрразведки фсб,2,157329
20,отряд лизалерт в марий эл опубликовал статистику за прошлый месяц всего поступило заявки на поиск в случая волонтеры успешно отработали и нашли пропавших один из поисковых дней закончился печальными известиями потерявшийся погиб трижды родственники справились сами еще троих людей найти к сожалению не удалось мы благодарим всех кто принимал участие в поисковоспасательных работах и не остался равнодушным заявили волонтеры в паблике во вконтакте,14,18942
21,населенных пунктов в трех округах подверглись затоплению изза разрушения плотины каховской гэс в херсонской области сальдо,2,157330
22,украина обратилась в международный уголовный суд в гааге в связи с разрушением каховской гэс,14,157331
23,в регионах россии отмечается тенденция к увеличению уровня ожирения среди граждан особенно среди мужчин сообщила главный внештатный специалист по терапии и общей врачебной практике минздрава россии оксана драпкина,2,157332
24,путин в беседе с эрдоганом констатировал что киев с подачи запада делает опасную ставку на эскалацию боевых действий кремль,2,157333
25,путин в ходе разговора с эрдоганом назвал разрушение каховской гэс варварской акцией киева осуществлённой с подачи западных кураторов кремль,12,157334
26,секретарь совета национальной безопасности снбо украины алексей данилов заявил что запланированное наступление еще не начиналось когда мы начнем контрнаступление все об этом узнают они увидят его сказал данилов агентству reuters,2,157335
27,команда ученых из политехнического института вирджинии обнаружила способность крокодилов к так называемому однополому размножению после того как самка крокодила в зоопарке костарики дала потомство несмотря на отсутствие самца на протяжении лет сообщает американское издание new york times со ссылкой на исследование,29,157336
28,дефицита рыбы в рф нет не было и не будет глава росрыболовства,2,157337
29,за первый месяц работы на новых маршрутах в йошкароле водители заработали более тысяч рублей для запуска всего закупленного транспорта требуются дополнительные водители мп троллейбусный транспорт продолжает набор сотрудников предприятие готово обучить желающих категории d за свой счет сообщает столичная администрация за первый месяц работы на новых маршрутах в йошкароле водители заработали более тысяч рублей для запуска всего закупленного транспорта требуются дополнительные водители мп троллейбусный транспорт продолжает набор сотрудников предприятие готово обучить желающих категории d за свой счет сообщает столичная администрация,4,18943
30,россия будет предельно жестко отвечать на любые атаки киева на запорожскую аэс мид рф,2,157338
31,путин и президент юар обсудили африканскую инициативу по урегулированию на украине условились что президент россии примет в ближайшее время делегацию ряда глав государств африки кремль,12,157339
32,пассажиры самолета летевшего из дели в санфранциско и совершившего экстренную посадку в магадане пожаловались что не могут воспользоваться кредитными картами они просто не работают в россии al jazeera,29,157340
33,справедливая россия за правду готовит поправки о праве подразделений территориальной обороны использовать стрелковое оружие миронов,2,157341
34,власти ньюйорка призвали находящихся в зоне риска жителей носить на улице маски в связи с дымом от лесных пожаров окутавшим город говорится в заявлении опубликованном на сайте офиса мэра города эрика адамса как сообщает газета washington post это произошло впервые за многие годы изза лесных пожаров в канаде в среду утром качество воздуха в городе было признано очень вредным для здоровья,29,157342
35,лето в москве будет раскачиваться почти весь июнь купальный сезон будет отложен на вторую половину месяца а настоящая жара наступит только в июле сообщил риа новости ведущий специалист центра погоды фобос евгений тишковец,2,157343
36,за прошедший месяц специалисты цур в системе инцидент менеджмент получили и обработали сообщений жителей марий эл чаще всего граждане интересовались вопросами общественного транспорта более тысячи обращений далее по популярности идет тема дорог и благоустройства и сообщения соответственно реже обращались по темам жкх и соцподдержки в сумме чуть более комментариев администрация йошкаролы получила больше всего сообщений с небольшим отрывом за ней следует региональный минтранс а на третьем месте оказалась мэрия волжска к которой обратились раз,12,18944
37,в николаеве на украине быстро повышается уровень воды после разрушения каховской гидроэлектростанции сообщило украинское издание страна сообщается что уровень воды повышается каждый час как заявил мэр города александр синкевич по состоянию на уровень воды в акватории николаева в целом поднялся на сантиметров,29,157344
38,лукашенко помиловал россиянку софью сапегу белта,12,157345
39,помилованную президентом беларуси александром лукашенко софью сапегу передали июня делегации приморского края возглавляемой губернатором олегом кожемяко по нашему обращению вчера александр григорьевич подписал указ о помиловании думаю что такой шаг имеет и для тебя значение обратился к помилованной олег кожемяко хочется поблагодарить президента александра григорьевича лукашенко за ту возможность которую он мне предоставил за тот подарок не только для меня но и для всей моей семьи за возможность вернуться домой к своей маме к своему отцу за то что мне был дан второй шанс он дан был далеко не многим а мне действительно очень повезло поделилась первыми эмоциями софья сапега,1,157346
40,губернатор приморья кожемяко выкладывает кадры освобождения софьи сапеги помилованной лукашенко,2,157347
41,друзья тот сбор фонда командаа о важности которого я говорил мы кс как волонтеры фонда отвечаем за запуск объекта и техническую сторону его работы без вас друзья так нужной фронту рембазе не работать спасибо всем кто помогаета не говорит,1,4871
42,пока преждевременно говорить о возможном исходе саммита нато в вильнюсе в июле относительно вопроса членства украины в альянсе заявил в среду генсек нато йенс столтенберг выступая в центре за новую американскую безопасность,2,157348
43,путин поручил главе мчс организовать помощь людям в зоне затопления херсонской области и работу ликвидации последствий бедствия песков,2,157349
44,российская часть аммиакопровода тольятти одесса отсечена от украинской находится в исправном состоянии и безопасности трансаммиак,2,157350
45,мвд россии подготовило порядок ограничения права управления транспортным средством тем кто имеет ограничения в едином реестре воинского учета в связи с неявкой по повестке в военкомат,14,157351
46,главные новости среды июня на складе в йошкароле найдено почти тысяч литров сидра опасного производства в магазине в звенигово нашли в продаже опасный напиток мистер сидр в марий эл до октября закрыли часть территории озера яльчик в марий эл на птицефабрике в волжском районе обнаружен птичий грипп и июня в марий эл изменят расписание поездов соцучреждения марий эл дополнительно получат млн рублей более тысяч детей марий эл отдыхают в детских лагерях в йошкароле художник илья белов создаст на стене лицея новое граффити за мая отряд лизаалерт марий эл занимался поиском людей в марий эл пройдет день пахаря,29,18945
47,численность населения рф с денежными доходами ниже границы бедности в первом квартале года составила миллиона человек или следует из предварительных данных росстата,27,157352
48,исполком международного олимпийского комитета рекомендовал сессии организации отозвать признание международной боксерской ассоциации при этом мок выступает за сохранение бокса в программе олимпийских игр года,12,157353
49,информация об обнаружении в источниках питьевой воды в россии возбудителя холеры распространяемая в мессенджерах и социальных сетях не соответствует действительности об этом тасс заявили в прессслужбе роспотребнадзора видим что в мессенджерах и социальных сетях снова распространяется сообщение о появлении в воде возбудителей холеры это сообщение фейк годичной давности информация об обнаружении в источниках питьевой воды холерных вибрионов не соответствует действительности пояснили агентству в прессслужбе ведомства,29,157354
50,лес в заповеднике на кинбурнской косе в херсонской области загорелся изза обстрела всу местные власти,2,157355
51,фбр помогало киеву цензурировать публикации в twitter политиков журналистов и сми из россии в тч риа новости и rt сми со ссылкой на утечку документов,2,157356
52,казахстан начнет выдавать карту казаха с июля года карта ата жолы путь предков предназначена для этнических казахов проживающих за рубежом по этой карте они смогут получить внж казахстана на лет при этом не теряя иностранное гражданство trtnarusskom,8,124162
53,вицеспикер гордумы краснодара геннадий уфимцев поедет добровольцем на сво на украине уфимцев заявил что будет думать как совместить службу с работой депутата и призвал тысячи краснодарцев поддержать его процитировав песню священная война,1,124163
54,днр готова помочь херсонской области в ликвидации последствий затопления заявил риа новости пушилин,2,205037
55,вицепремьер ульяновской области сергей кучиц объявил что уходит добровольцем в зону сво чиновник утверждает что хочет применить на фронте свои медицинские знания поскольку является врачом,2,124164
56,вон собака погнали щас я буду за тобой нырять кадры спасение собаки застрявшей в затопленном куйбышево км от херсона спасатели несколько часов объезжали село пока не наткнулись на песика по их словам изза затопленных заправок в воздухе пахнет бензином а сама вода черная почти все частные дома в районе где работали мужчины затоплены до крыш,3,16745
57,сальдо сообщил что в пунктах временного размещения сейчас находятся тыс жителей херсонской области из затопленных районов при необходимости есть резерв ещё на тыс,2,205038
58,с декабря года по май запчасти на китайские автомобили применяемые при кузовном ремонте подорожали в россии более чем на напи средняя цена на запчасти для китайских автомобилей в мае года по сравнению с апрелем выросла на по сравнению с декабрем г на в частности средняя цена на оригинальные запасные части по страховой корзине для китайских легковых машин составляла тыс рублей в декабре года в апреле тот же набор стоил в среднем тыс рублей в мае тыс рублей,27,10535
59,российские спецслужбы пытаются подавить сигнал gps не только в центре москвы чтобы защитить кремль от вражеских беспилотников и ракет глушилки повлияли на работу авиалиний в финляндии и странах балтии изза этого авиаперевозчикам им пришлось использовать альтернативные методы навигации сообщает bloomberg источник радиопомех похоже находится в ленинградской области они повлияли на авиаперевозки но на земле gps доступен сообщило эстонское агентство по защите прав потребителей в последние дни наблюдаются перебои в работе gps в разных частях эстонии говорится в электронном письме транспортного ведомства страны в минобороны россии не ответили на просьбу bloomberg о комментарии,29,124165
60,максимальная концентрация макро в новом выпуске индекса недели бюджетное правило рубль сокращение добычи опек цены на нефть а еще поговорим про возможную отмену лдв для иностранных бумаг вы же будете скучать по льготе смотреть на youtube,27,9908
61,набор добровольцев продолжается присоединяйся к нашей команде настоящих мужчин в городах россии работают центры набора в чвк вагнер в них можно получить дополнительную информацию о работе в чвк вагнер и вам помогут устроиться на работу ищите центр набора в своём городе ключевые условия контракт с окладом от тыс руб и хорошие премии за результаты страхование здоровья и жизни гарантия всех выплат предоставляется современная спецодежда и лучшее снаряжение коллектив нацеленный на эффективную работу и на победу возраст от до наличие срочной службы необязательно пригожин подписаться,14,1581
62,таких фестивалей как великое русское слово нужно проводить намного больше об этом заявил военный эксперт автор telegramканала рыбарь михаил звинчук __крым находится сейчас в тылу это не какойто пир во время чумы это место где лидеры общественного мнения и политики обмениваются определёнными тезисами о чёмто договариваются чтото выполняют этих мероприятий должно быть больше они должны нести свет новороссийского великорусского просвещения в массы подчеркнул звинчук __ напомним в эти дни крыму проходит международный фестиваль великое русское слово крым,1,47822
63,густой черный дым поднимается над промзоной шебекино после обстрела,2,205039
64,известия публикуют кадры поражения очередной сау гвоздика с помощью дронакамикадзе ланцет в конце видео видно возгорание,2,46104
65,в красноярском крае бывший депутат тасеевского районного совета александр хаконов сбежал в зону сво и вступил в чвк вагнер после того как суд приговорил его к девяти годам и восьми месяцам колонии строго режима за убийство жены об этом пишет портал со ссылкой на информированный источник по версии следствия хаконов убил жену марта года во время распития алкоголя мужчина разгневанный высказываниями в свой адрес схватил нож и нанес жене удары в область грудной клетки от полученных ранений она сразу скончалась рассказали в прокуратуре по словам источника после объявления судом приговора хаконов находясь в сизо решил вступить в чвк и уже отправился на фронт избежав наказания,14,124166
66,папе римскому франциску провели операцию на кишечнике в римской клинике джемелли сообщает в среду associated press в ватикане сообщили что операция продлилась три часа и прошла без осложнений понтифик находился под общим наркозом,29,157357
67,евгений пригожин показывает образцовые блиндажи чвк вагнер экскурсия в подземный жк вагнер начинается с полноценной русской бани которую оборудовали трёхсотые деревянные комнаты для личного состава чистые уютные и просторные в блиндажах даже есть плазмы пригожин иронично называет телевизор окном в европу пригожин подписаться,1,1582
68,украинский контрацептив заявил в эфире телеканала дождь что россию нужно уничтожить разговоров с этой обезьяной с дикой неотёсанной необразованной тупой обдолбанной этим русским миром и этими лживыми ложными античеловеческими и антигуманными идеями нет эту обезьяну надо уничтожать сказало средство конрацепции,1,43584
69,ситуация после разрушения каховской гэс ухудшится в ближайшие часы оон,12,157358
70,invite agency и insight people основные выгодоприобретатели запущенных процессов так как обе компании верифицированы к участию в предвыборной кампании года,7,124167
71,противник перезагружается сейчас его действия можно назвать мелкой моторикой многовекторность имеет и свои минусы он не выдохся но понял что не совсем адекватно оценил готовность своих насильно отмобилизованных солдат умирать стычки последних дней показали что при упорстве с нашей стаороны противник ломается и впадает в состояние фрустрации как же так нам говорили что русня сразу побежит а они стреляют убивают нас чтото тут не совсем так как нам обещали парни упирайтесь давите его повернулся спиной убит валишь в него изо всех стволов он начинает ходить помаллму не снимая штанов держитесь мужики,1,2724
72,главное отличие mmi от всех экономических каналов что мы не предполагаем а мы знаем __справочно____ mmi среди экономических каналов создан в году __,27,9909
73,совфед рф одобрил закон который обязывает призванных на военную службу сдавать загранпаспорта государству требование сдавать загранпаспорта в случае призыва касается мужчин в возрасте от до лет которые не пребывают в запасе и в отношении которых уже вынесено решение призывной комиссии о призыве паспорт нужно сдать в орган выдавший этот документ миграционный отдел мвд или мфц сделать это необходимо в течение пяти рабочих дней с момента когда владельца паспорта уведомили об ограничении права его права на выезд из страны,14,124168
74,adindex представил рейтинг медиабайеров в россии по итогам года рынок однозначно изменился в этой категории произошло импортозамещение сбермаркетинг который по итогам года не упоминался в рейтинге сейчас занимает место с оборотом в млрд рублей на первом месте оказался лидер прошлогоднего рейтинга media instinct с оборотом в млрд рублей,27,124169
75,нацбанк украины разрешил банкам блокировать или закрывать счета граждан и юрлиц за отказ предоставить сведения об экономических связях с россией,27,205040
76,киевский режим не считается с потерями и будет предпринимать новые попытки наступления заявил в интервью риа новости пушилин,2,205041
77,нацбанк украины разрешил банкам блокировать или закрывать счета граждан и юрлиц за отказ предоставить сведения об экономических связях с россией,27,124170
78,в оон считают что ситуация после разрушения каховской гэс ухудшится в ближайшие часы изза продолжающегося подъема воды,29,205042
79,ситуация после разрушения каховской гэс ухудшится в ближайшие часы оон спутниковые снимки низовий днепра до и после прорыва дамбы tmervvoenkor,1,46843
80,изза обвала дороги в районе села лучистое изменился график движения рейсовых автобусов с июня рейсовый автобус будет двигаться по обычному расписанию но через км судакского шоссе до остановки школа маршрут будет двигаться по прежнему маршруту через верхнюю и нижнюю кутузовку до остановки лаванда об этом сообщила глава алушты галина огнёва фото галина огнёваtelegram крым,8,47823
81,российским региональным администрациям и парламентам спустили сверху установку отправить в зону сво несколько чиновников и депутатов это нужно для того чтобы показать что власти не боятся контрнаступления всу информация о получении подобных установок поступает сразу из целого ряда регионов в разных федеральных округах в частности очень просят чтобы хоть ктото сейчас заключил контракт с минобороны и поехал бы на фронт это касается и чиновников и депутатов если про парламентариев говорить то допустимо если в зону сво поедут депутатымедики которые смогут оказывать волонтерскую помощь тема довольно важная по ней необходимо до конца месяца будет предоставить подробный отчет в москву кто и как был отправлен в зону сво а если этого сделать не получилось то это нужно детально объяснить и обосновать отмечает один из инсайдеров taynaya_kantselyariya,1,124171
82,губернатор белгородской области гладков сообщил что на территории новой таволжанки противника нет и разместил видео с кадрами посещения села,2,157359
83,белгородский губернатор гладков сообщил что побывал в новой таволжанке по его словам на сегодняшний день противника там нет,2,124172
84,фбр помогало сбу цензурировать публикации в twitter российских политиков отдельных журналистов и сми включая риа новости и rt пишут западные сми со ссылкой на утечку документов списки лиц которых киев обвинял в дезинформации получал от сбу спецагент фбр кобзанец прикомандированный к посольству сша в киеве а тот пересылал их twitter из аккаунтов внесенных в список twitter приостановил работу,2,205043
85,в петербурге задержали гражданина беларуси которого объявили в международный розыск изза критики лукашенко во вконтакте мужчину задержали июня около шести вечера у владимирского собора уточняет фонтанка по версии следствия беларуси осенью года он опубликовал несколько постов во вконтакте с критикой лукашенко его объявили в международный розыск в январе года,14,124173
86,в оон считают что ситуация после разрушения каховской гэс ухудшится в ближайшие часы изза продолжающегося подъема воды каховскаягэс,29,124174
87,лгбтактивисты пришли развращать детей в армянскую школу в лосанджелесе но были избиты родителями учеников,28,43585
88,танки врага пытались прорваться в новую таволжанку но smkb уничтожены нашими на кадрах бойцов танки брошенные украинскими боевиками и позже добитые из гранатомётов нашими бойцами при новой попытке прорыва всу в новую таволжанку перед этим предателинеонацисты на этих танках уже заезжали на южные окраины села в итоге они были уничтожены российскими бойцами tmervvoenkor,1,46844
89,росстат численность населения рф с денежными доходами ниже границы бедности в первом квартале года составила миллиона человек или tgrussia,27,124175
90,поражение двух британских бронеавтомобилей mastiff во время боев за новодонецкое первый броневик получил в бок противотанковую ракету и задымился один из членов экипажа успел выпрыгнуть и сбежать второму повезло меньше и машина вместе с ним уныло продолжила ползти вперед пока не съехала на обочину и не уперлась в препятствие второй мастиф был выведен из строя огнем минометчиков на кадрах видно как противник вытаскивает из броневика своих раненных саму подбитую машину затем бросят а эвакуировать пострадавших придется на руках через все поле milinfolive,2,46105
91,сбитый на запорожском направлении украинский разведывательный бпла бортовой номер za_froht,2,46106
92,украинский президент зеленский признался что шокирован реакцией оон и красного креста на прорыв дамбы каховской гэс об этом он сообщил в интервью bild по словам зеленского крупнейшие международные организации либо вообще не дали ответа на запрос о помощи либо он был по сути отказом в дипломатических формулировках президент украины заявил что шокирован такой реакцией то что сейчас происходит это трагедия экологическая катастрофа и человеческая катастрофа люди животные погибли с крыш затопленных домов люди могут видеть проплывающих мимо утопленников это можно видеть с другой стороны вывезти людей из оккупированной части херсонской области очень сложно подчеркнул зеленский каховскаягэс,2,124176
